date,service,ridership
11/4/2025,komuter,32841
12/4/2025,komuter,20979
13/4/2025,komuter,21518
14/4/2025,komuter,29927
15/4/2025,komuter,29935
16/4/2025,komuter,30300
17/4/2025,komuter,30656
18/4/2025,komuter,34983
19/4/2025,komuter,22840
20/4/2025,komuter,22455
21/4/2025,komuter,28209
22/4/2025,komuter,28584
23/4/2025,komuter,28199
24/4/2025,komuter,29391
25/4/2025,komuter,34007
26/4/2025,komuter,21246
27/4/2025,komuter,20743
28/4/2025,komuter,30151
29/4/2025,komuter,29445
30/4/2025,komuter,34575
1/5/2025,komuter,23050
2/5/2025,komuter,30916
3/5/2025,komuter,21852
4/5/2025,komuter,21138
5/5/2025,komuter,30884
6/5/2025,komuter,30031
7/5/2025,komuter,29821
8/5/2025,komuter,30639
9/5/2025,komuter,35671
10/5/2025,komuter,21846
11/5/2025,komuter,21517
12/5/2025,komuter,22131
13/5/2025,komuter,30862
14/5/2025,komuter,29142
15/5/2025,komuter,28800
16/5/2025,komuter,29352
17/5/2025,komuter,16755
18/5/2025,komuter,17102
19/5/2025,komuter,28705
20/5/2025,komuter,29359
21/5/2025,komuter,28656
22/5/2025,komuter,29776
23/5/2025,komuter,32058
24/5/2025,komuter,22545
25/5/2025,komuter,21224
26/5/2025,komuter,27665
27/5/2025,komuter,26925
28/5/2025,komuter,30194
29/5/2025,komuter,36565
30/5/2025,komuter,38203
31/5/2025,komuter,26589
1/6/2025,komuter,19933
2/6/2025,komuter,19770
3/6/2025,komuter,30302
4/6/2025,komuter,33036
5/6/2025,komuter,33732
6/6/2025,komuter,30614
7/6/2025,komuter,20529
8/6/2025,komuter,26216
9/6/2025,komuter,31238
10/6/2025,komuter,29710
11/6/2025,komuter,29636
12/6/2025,komuter,28709
13/6/2025,komuter,28980
14/6/2025,komuter,17140
15/6/2025,komuter,17117
16/6/2025,komuter,28501
17/6/2025,komuter,29337
18/6/2025,komuter,28634
19/6/2025,komuter,29090
20/6/2025,komuter,29423
21/6/2025,komuter,17312
22/6/2025,komuter,19530
23/6/2025,komuter,29144
24/6/2025,komuter,28472
25/6/2025,komuter,29300
26/6/2025,komuter,35225
27/6/2025,komuter,20358
28/6/2025,komuter,18319
29/6/2025,komuter,19823
30/6/2025,komuter,28901
1/7/2025,komuter,29435
2/7/2025,komuter,30177
3/7/2025,komuter,30264
4/7/2025,komuter,31464
5/7/2025,komuter,19377
6/7/2025,komuter,19220
7/7/2025,komuter,31261
8/7/2025,komuter,30511
9/7/2025,komuter,31211
10/7/2025,komuter,31526
11/7/2025,komuter,33285
12/7/2025,komuter,21060
13/7/2025,komuter,20322
14/7/2025,komuter,30691
15/7/2025,komuter,31350
16/7/2025,komuter,31292
17/7/2025,komuter,30885
18/7/2025,komuter,32321
19/7/2025,komuter,18699
20/7/2025,komuter,18626
21/7/2025,komuter,30319
22/7/2025,komuter,30087
23/7/2025,komuter,30966
24/7/2025,komuter,30964
25/7/2025,komuter,32880
26/7/2025,komuter,22662
27/7/2025,komuter,19386
28/7/2025,komuter,29828
29/7/2025,komuter,29867
30/7/2025,komuter,29879
31/7/2025,komuter,29796
1/8/2025,komuter,31477
2/8/2025,komuter,18595
3/8/2025,komuter,17876
4/8/2025,komuter,29893
5/8/2025,komuter,30173
6/8/2025,komuter,30477
7/8/2025,komuter,30679
8/8/2025,komuter,32740
9/8/2025,komuter,20045
10/8/2025,komuter,19807
11/8/2025,komuter,31033
12/8/2025,komuter,31117
13/8/2025,komuter,31034
14/8/2025,komuter,31167
15/8/2025,komuter,32905
16/8/2025,komuter,19107
17/8/2025,komuter,18559
18/8/2025,komuter,30330
19/8/2025,komuter,30029
20/8/2025,komuter,29866
21/8/2025,komuter,29445
22/8/2025,komuter,31390
23/8/2025,komuter,17962
24/8/2025,komuter,16851
25/8/2025,komuter,29566
26/8/2025,komuter,28864
27/8/2025,komuter,28506
28/8/2025,komuter,28425
29/8/2025,komuter,34772
30/8/2025,komuter,21164
31/8/2025,komuter,20590
1/9/2025,komuter,20801
2/9/2025,komuter,29056
3/9/2025,komuter,28782
4/9/2025,komuter,31950
5/9/2025,komuter,18511
6/9/2025,komuter,16833
7/9/2025,komuter,18783
8/9/2025,komuter,29013
9/9/2025,komuter,29168
10/9/2025,komuter,29581
11/9/2025,komuter,29757
12/9/2025,komuter,36339
13/9/2025,komuter,23340
14/9/2025,komuter,21022
15/9/2025,komuter,22029
16/9/2025,komuter,21962
17/9/2025,komuter,31822
18/9/2025,komuter,30555
19/9/2025,komuter,28988
20/9/2025,komuter,17769
21/9/2025,komuter,16667
22/9/2025,komuter,27726
23/9/2025,komuter,28285
24/9/2025,komuter,28614
25/9/2025,komuter,29092
26/9/2025,komuter,29900
27/9/2025,komuter,18147
28/9/2025,komuter,16730
29/9/2025,komuter,28476
30/9/2025,komuter,28167
1/10/2025,komuter,28858
2/10/2025,komuter,30040
3/10/2025,komuter,32597
4/10/2025,komuter,21355
5/10/2025,komuter,20641
6/10/2025,komuter,29375
7/10/2025,komuter,30087
8/10/2025,komuter,29840
9/10/2025,komuter,31926
10/10/2025,komuter,32326
11/10/2025,komuter,20241
12/10/2025,komuter,19294
13/10/2025,komuter,29545
14/10/2025,komuter,28708
15/10/2025,komuter,29088
16/10/2025,komuter,33015
17/10/2025,komuter,40014
18/10/2025,komuter,24921
19/10/2025,komuter,22371
20/10/2025,komuter,27034
21/10/2025,komuter,30290
22/10/2025,komuter,29581
23/10/2025,komuter,27027
24/10/2025,komuter,28116
25/10/2025,komuter,19562
26/10/2025,komuter,19656
27/10/2025,komuter,26992
28/10/2025,komuter,25535
29/10/2025,komuter,28387
30/10/2025,komuter,29029
31/10/2025,komuter,31787
1/11/2025,komuter,19395
2/11/2025,komuter,18884
